WORDCOUNT,LOCATION,ORGANIZATION,PERSON,MONEY,DATE,TIME,PERCENT,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,LIKES,COMMENTS,DT,JJ,NN,VBZ,VBN,TO,VB,CD,IN,JJS,VBG,NNS,NNP,VBD,PRP$,CC,WP,RB,PRP,VBP,RBR,RP,MD,WDT,WRB,JJR,EX,NNPS,world,blogs,disability,entertainment,magazine,technology,help,business,education,uk,rugby,election,health,science,Shares
288,0,5,18,0,1,0,0,0,0,0,1,0,0,0,5,0,27,24,32,8,10,7,8,9,37,1,6,14,39,15,6,10,3,8,17,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
762,0,7,7,0,3,0,0,0,0,1,0,0,0,0,23,9,65,68,142,35,12,26,35,9,75,1,16,69,45,16,5,26,4,34,27,21,3,3,11,5,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49
1391,0,8,44,0,0,0,0,0,0,0,1,0,0,0,137,98,139,70,207,82,47,39,49,13,153,4,40,80,105,35,25,63,11,62,89,34,1,9,15,2,10,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,207
457,0,21,27,0,2,0,0,0,0,0,0,1,0,0,37,11,44,20,76,16,14,7,7,6,49,1,15,21,65,22,5,12,5,21,28,10,2,3,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85
82,0,0,6,0,3,0,0,0,0,1,0,0,0,0,2385,128,4,3,14,4,3,0,0,7,12,0,2,3,14,3,3,2,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,160
667,0,25,15,0,6,0,0,0,0,0,1,0,0,0,95,17,56,38,92,11,14,21,16,15,77,2,11,41,107,34,19,24,1,22,38,12,0,1,6,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,229
943,0,11,2,0,11,0,0,0,0,0,1,0,0,0,123,5,105,42,115,13,35,32,34,9,96,2,40,82,54,50,11,43,9,44,60,40,0,7,8,2,2,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72
419,0,16,9,0,5,0,0,0,0,0,1,0,0,0,146,116,44,26,72,17,17,8,7,8,60,1,13,34,54,16,1,12,0,11,6,6,0,1,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149
869,0,20,19,0,8,0,0,0,0,0,1,0,0,0,0,0,67,48,105,21,34,19,20,13,105,2,26,76,146,46,8,29,7,29,20,24,2,2,10,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
138,0,3,4,0,2,0,0,0,0,0,1,0,0,0,45,28,9,15,21,7,6,3,2,4,21,1,5,8,20,3,2,5,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,121
1491,0,27,85,0,14,0,0,0,0,0,1,0,0,0,13,7,146,63,269,50,58,46,40,21,170,5,33,82,151,73,26,38,12,62,69,28,4,8,11,5,12,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57
390,0,11,11,2,3,1,0,0,0,0,1,0,0,0,829,1043,38,10,48,11,13,10,11,23,52,2,15,19,52,12,2,5,3,6,25,19,3,0,5,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1070
